model,n_splits,accuracy_mean,accuracy_std,accuracy_ci95,precision_mean,precision_std,precision_ci95,recall_mean,recall_std,recall_ci95,f1_mean,f1_std,f1_ci95,train_time_mean,train_time_std,train_time_ci95,predict_time_mean,predict_time_std,predict_time_ci95
LogisticRegression,5,0.9622579699706536,0.002743853869857501,0.0024050939591442754,0.9590580976692138,0.0025424754564840777,0.0022285779971146966,0.9622579699706536,0.002743853869857501,0.0024050939591442754,0.9596083107675188,0.0026742042310036853,0.0023440433589267816,1.0723536014556885,0.026080305171458356,0.022860395413029512,0.0008028030395507812,8.06379077154086e-05,7.068224254028328e-05
LinearSVC,5,0.9771615098014834,0.0045367179499374195,0.003976608614474995,0.9740270223971429,0.004412774062673832,0.003867967007206749,0.9771615098014834,0.0045367179499374195,0.003976608614474995,0.9749519379398242,0.0044709583814394795,0.003918967811264675,35.313188552856445,2.1962832606523732,1.9251271581161293,0.0008897781372070312,7.518563063339527e-05,6.590311096276526e-05
DecisionTree,5,0.9953989441721447,0.0010383214117964115,0.0009101288456339685,0.9955775657591897,0.0010087444804593084,0.0008842035222520109,0.9953989441721447,0.0010383214117964115,0.0009101288456339685,0.9953629520043075,0.0010181435956491667,0.0008924422099652175,0.3705791473388672,0.010828608893818741,0.009491694190628302,0.0013063430786132812,0.00013079040018343154,0.00011464284044090512
RandomForest,5,0.996799266477724,0.0009385045837824782,0.0008226355382408451,0.9961939833399676,0.0013435466402763674,0.0011776705544909705,0.996799266477724,0.0009385045837824782,0.0008226355382408451,0.9963990014607035,0.001121391312189397,0.0009829428237458065,0.46752381324768066,0.005053693487881679,0.004429757653129766,0.027489995956420897,0.000580510186129192,0.0005088396132238441
XGBoost,5,0.9978995332166342,0.000560269438119953,0.0004910978153459161,0.9978672383795641,0.0005501234062574654,0.0004822044263029269,0.9978995332166342,0.000560269438119953,0.0004910978153459161,0.9977924640051894,0.0005669807947167988,0.0004969805787780573,2.9010739803314207,0.07542882947497284,0.06611628414635738,0.019308710098266603,0.002545588802745204,0.002231306965434627
