Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train (s),Predict (s)
XGBoost-combined,0.9694,0.961,0.9694,0.9608,0.99,114.68,1.321
RandomForest-combined,0.934,0.954,0.934,0.9429,0.9825,44.64,0.999
